director,cant,rating
Gary Sinyor,1,10.0
Rohit Jugraj,1,9.5
Lance Hool,1,9.3
Floyd Mutrux,1,8.5
Tim McCanlies,2,8.45
John Cromwell,1,8.4
Damien Chazelle,1,8.3
Jem Cohen,1,8.3
Kevin Sullivan,1,8.2
Philip Saville,1,8.2
Lenny Abrahamson,1,8.1
Jorge Ramírez Suárez,1,8.1
Charlie Chaplin,1,8.1
Theodore Witcher,1,8.1
Hayao Miyazaki,4,8.05
Frank Whaley,1,8.0
Fritz Lang,1,8.0
Robert Mulligan,1,8.0
Sterling Van Wagenen,1,8.0
Eric Styles,1,8.0
Lauren Lazin,1,8.0
Roger Allers,1,8.0
Sherman Alexie,1,8.0
Sergio Leone,4,8.0
Ron Fricke,1,8.0
Henry Jaglom,1,8.0
Justin Dillon,1,8.0
Jean-Jacques Mantello,1,8.0
Maïwenn,1,7.9
Jay Oliva,1,7.9
Richard Marquand,1,7.9
Akira Kurosawa,2,7.85
Stanley Donen,1,7.8
Carl Theodor Dreyer,1,7.8
Christopher Nolan,8,7.8
Anna Muylaert,1,7.8
Jorge Gaggero,1,7.8
Ari Folman,1,7.8
Barry W. Blaustein,1,7.8
Majid Majidi,1,7.8
John Sturges,1,7.8
Ingmar Bergman,1,7.8
Jehane Noujaim,1,7.8
Quentin Tarantino,8,7.775
Pete Docter,3,7.733333333333333
Mike van Diem,1,7.7
Chris Marker,1,7.7
Stephen Chbosky,1,7.7
Lukas Moodysson,1,7.7
Asghar Farhadi,1,7.7
Vincent Paronnaud,1,7.7
Andrei Tarkovsky,1,7.7
Giuseppe Tornatore,1,7.7
Zoran Lisinac,1,7.7
Thaddeus O'Sullivan,1,7.7
Stanley Kubrick,6,7.683333333333334
Denis Villeneuve,3,7.666666666666667
George Roy Hill,2,7.65
James Marsh,2,7.65
Miloš Forman,3,7.633333333333333
Frank Capra,5,7.62
Josh Boone,1,7.6
Alex Garland,1,7.6
Tony Bancroft,1,7.6
Rajkumar Hirani,1,7.6
Dean DeBlois,1,7.6
Mikel Rueda,1,7.6
Stéphane Aubier,1,7.6
David Sington,1,7.6
Paul Fierlinger,1,7.6
Billy Wilder,4,7.6
Dan Gilroy,1,7.6
Lu Chuan,1,7.6
G.W. Pabst,1,7.6
Tom McCarthy,2,7.6
Lee Unkrich,1,7.6
Thea Sharrock,1,7.6
Eytan Fox,1,7.6
William Wyler,1,7.6
Jim O'Hanlon,1,7.6
Robert Rossen,1,7.6
Morten Tyldum,2,7.55
Joshua Oppenheimer,1,7.5
Justin Tipping,1,7.5
Jonathan Dayton,1,7.5
Jan Pinkava,1,7.5
Russell Friedenberg,1,7.5
Neill Dela Llana,1,7.5
Dennis Gansel,1,7.5
Bernardo Bertolucci,2,7.5
Bill Melendez,1,7.5
Bill Plympton,1,7.5
Christophe Barratier,1,7.5
S.S. Rajamouli,1,7.5
Terry George,1,7.5
Eugenio Derbez,1,7.5
James D. Stern,1,7.5
Jonathan Caouette,1,7.5
Frank Darabont,4,7.5
Andrew Steggall,1,7.5
Elia Kazan,3,7.466666666666666
Peter Weir,4,7.45
Robert Greenwald,2,7.45
Steve McQueen,2,7.45
David Lean,4,7.45
David Lynch,5,7.44
Alfonso Cuarón,4,7.425
Wes Anderson,7,7.414285714285714
Robert Stevenson,1,7.4
Wolfgang Becker,1,7.4
Richard Ayoade,1,7.4
Brian Percival,1,7.4
Maryam Keshavarz,1,7.4
Ted Demme,1,7.4
Fabián Bielinsky,1,7.4
Mark Sandrich,1,7.4
Frank Lotito,1,7.4
Tim Miller,1,7.4
Lisanne Pajot,1,7.4
Robert Kenner,1,7.4
D.W. Griffith,1,7.4
Byron Howard,1,7.4
Andrey Zvyagintsev,1,7.4
Kiyoshi Kurosawa,1,7.4
Kelly Asbury,1,7.4
George Cukor,1,7.4
Andrew Haigh,1,7.4
Kang Je-gyu,1,7.4
Mel Stuart,1,7.4
Stacy Peralta,2,7.4
Moustapha Akkad,1,7.4
Morgan Neville,1,7.4
William H. Macy,1,7.4
Sanjay Rawal,1,7.4
Joss Whedon,3,7.366666666666667
Yash Chopra,2,7.35
Jean-Luc Godard,2,7.35
David Fincher,10,7.340000000000001
Richard Curtis,3,7.333333333333333
Peter Jackson,9,7.333333333333333
James Cameron,7,7.328571428571428
Lynne Ramsay,2,7.300000000000001
Eric Bress,1,7.3
Mel Gibson,3,7.3
Michel Leclerc,1,7.3
Michel Hazanavicius,1,7.3
Michael Burke,1,7.3
Michael McGowan,1,7.3
Pedro Almodóvar,1,7.3
Abel Ferrara,1,7.3
Ritesh Batra,1,7.3
Chris Buck,1,7.3
Ryan Coogler,2,7.3
Cristian Mungiu,1,7.3
Daniele Luchetti,1,7.3
Dan O'Bannon,1,7.3
R.J. Cutler,1,7.3
Raja Menon,1,7.3
Richard Brooks,4,7.3
Richard Dutcher,1,7.3
Mary Harron,1,7.3
Tomm Moore,1,7.3
François Girard,1,7.3
László Benedek,1,7.3
Kim Longinotto,1,7.3
Howard Hawks,1,7.3
Tom Ford,1,7.3
Tom Hooper,3,7.3
Gareth Evans,1,7.3
Jason Moore,1,7.3
Jean-Marc Vallée,3,7.3
Jeremy Sims,1,7.3
John Carney,2,7.3
Giuliano Montaldo,1,7.3
Aleksandr Veledinskiy,1,7.3
Jorge R. Gutierrez,1,7.3
Stanley Kramer,2,7.3
Park Chan-wook,3,7.3
Eli Craig,1,7.3
Sylvain Chomet,1,7.3
Patrick Creadon,1,7.3
Paolo Sorrentino,1,7.3
Martin Scorsese,20,7.295
Gina Prince-Bythewood,3,7.266666666666667
Mark Osborne,2,7.25
Tim Robbins,2,7.25
Richard Glatzer,2,7.25
Kevin Macdonald,3,7.233333333333333
Alejandro González Iñárritu,6,7.233333333333333
Spike Jonze,4,7.225
Paul Thomas Anderson,6,7.216666666666666
Marilyn Agrelo,1,7.2
Dexter Fletcher,1,7.2
Chris Paine,1,7.2
Christian Carion,1,7.2
Richard J. Lewis,1,7.2
Jim Jarmusch,1,7.2
Peter Kosminsky,1,7.2
Brian Henson,1,7.2
Rakeysh Omprakash Mehra,1,7.2
Charlie Kaufman,2,7.2
Na Hong-jin,1,7.2
Deborah Anderson,1,7.2
Bernhard Wicki,1,7.2
Orson Welles,1,7.2
Steve James,2,7.2
Don Siegel,1,7.2
Edgar Wright,4,7.2
Fred Zinnemann,5,7.2
Gilles Paquet-Brenner,1,7.2
Liu Chia-Liang,1,7.2
Anthony Powell,1,7.2
Ayan Mukherjee,1,7.2
John G. Avildsen,2,7.2
John Crowley,1,7.2
James Gartner,1,7.2
Ted Kotcheff,1,7.2
Genndy Tartakovsky,3,7.166666666666667
Lars von Trier,3,7.166666666666667
Jacques Perrin,2,7.15
Mark Herman,2,7.15
Mike Cahill,2,7.15
Ning Hao,2,7.15
Gaspar Noé,2,7.15
Sean Penn,2,7.15
Ol Parker,2,7.15
Chris Sanders,3,7.133333333333333
Stephen Daldry,5,7.12
Ron Clements,3,7.1000000000000005
Niki Caro,3,7.1000000000000005
Fernando Meirelles,3,7.1000000000000005
Peter Sollett,3,7.1000000000000005
Ken Loach,1,7.1
Kirsten Sheridan,1,7.1
Joe Cross,1,7.1
Katsuhiro Ōtomo,2,7.1
Kriv Stenders,1,7.1
Tate Taylor,2,7.1
Leslie Small,1,7.1
Fernando León de Aranoa,1,7.1
Oren Moverman,1,7.1
Molly Bernstein,1,7.1
Bob Giraldi,1,7.1
Nat Faxon,1,7.1
Fatih Akin,1,7.1
Theodore Melfi,1,7.1
Michael D. Sellers,1,7.1
Michael Wadleigh,1,7.1
Michael Cimino,2,7.1
Rich Moore,1,7.1
Peter H. Hunt,1,7.1
Peter Ramsey,1,7.1
Matthew Vaughn,4,7.074999999999999
Andrew Stanton,4,7.074999999999999
Thomas Vinterberg,3,7.066666666666666
George Sidney,3,7.066666666666666
Lee Daniels,2,7.050000000000001
Martin McDonagh,2,7.050000000000001
Pierre Coffin,2,7.05
Juan Antonio Bayona,2,7.05
Shane Meadows,4,7.05
Chris Williams,2,7.05
Philip Kaufman,2,7.05
Jean-Jacques Annaud,4,7.05
Alfred Hitchcock,8,7.05
Ben Affleck,2,7.05
Roman Polanski,6,7.033333333333334
Victor Fleming,3,7.033333333333334
Danny Boyle,8,7.0125
Hans Petter Moland,1,7.0
Chris Morris,1,7.0
Sergey Bondarchuk,1,7.0
James Algar,1,7.0
Tim Boxell,1,7.0
Petter Næss,1,7.0
Ava DuVernay,2,7.0
Scott Smith,1,7.0
Joshua Tickell,1,7.0
Kevin Jordan,1,7.0
John D. Hancock,1,7.0
Claude Miller,1,7.0
Richard Attenborough,4,7.0
Julian Schnabel,2,7.0
Robert Stromberg,1,7.0
Paul King,1,7.0
Peter Landesman,1,7.0
Shimit Amin,1,7.0
Shane Black,2,7.0
Mervyn LeRoy,1,7.0
Eric Lartigau,1,7.0
Dan Scanlon,1,7.0
Duncan Jones,3,7.0
Ferzan Ozpetek,1,7.0
Shona Auerbach,1,7.0
James Frawley,1,7.0
Gábor Csupó,1,7.0
Gregory Nava,1,7.0
John Badham,1,7.0
Irvin Kershner,2,7.0
Caroline Link,1,7.0
Isabel Coixet,2,7.0
Justin Molotnikov,1,7.0
Joseph Dorman,1,7.0
Don Bluth,1,7.0
Michael Roemer,1,7.0
Michael Sucsy,1,7.0
Darren Aronofsky,6,7.0
Patty Jenkins,1,7.0
Brad Bird,4,7.0
Johnnie To,1,7.0
John Patrick Shanley,1,7.0
John Reinhardt,1,7.0
Nacho Vigalondo,1,7.0
Jiří Menzel,1,7.0
Michael Kang,1,7.0
Michael Haneke,3,7.0
Miranda July,1,7.0
Morgan Spurlock,3,7.0
Stefan Schwartz,1,7.0
Nick Cassavetes,4,7.0
Alex van Warmerdam,1,7.0
Nicholas Meyer,2,7.0
Stephen Kijak,1,7.0
Francis Ford Coppola,12,6.9750000000000005
J.J. Abrams,4,6.975
Sam Peckinpah,4,6.975
Steven Spielberg,27,6.974074074074075
Sidney Lumet,6,6.966666666666666
David Hand,3,6.966666666666666
George Lucas,5,6.959999999999999
James Wan,7,6.957142857142857
Richard Linklater,11,6.954545454545454
Bill Paxton,2,6.95
Michael Moore,6,6.95
Carroll Ballard,2,6.95
Florian Henckel von Donnersmarck,2,6.95
Julian Jarrold,2,6.95
Simon Curtis,2,6.949999999999999
Michael Hoffman,3,6.933333333333334
James Gunn,3,6.933333333333334
Paul Greengrass,7,6.928571428571429
Phil Lord,4,6.925
Baz Luhrmann,4,6.925
Terrence Malick,4,6.925
Lasse Hallström,9,6.922222222222222
Robert Zemeckis,13,6.915384615384616
Sam Mendes,7,6.914285714285714
Joshua Marston,1,6.9
Juan José Campanella,2,6.9
Jacob Aaron Estes,1,6.9
Clive Barker,1,6.9
Leos Carax,1,6.9
Luc Jacquet,1,6.9
Luca Guadagnino,1,6.9
Lone Scherfig,2,6.9
Tom Putnam,1,6.9
Coky Giedroyc,1,6.9
Marius Markevicius,1,6.9
Henry Alex Rubin,1,6.9
Andrea Arnold,1,6.9
Antonia Bird,1,6.9
Andrew Leman,1,6.9
Robert Wise,4,6.9
Kay Pollak,1,6.9
Karan Johar,2,6.9
Robert C. Cooper,1,6.9
Bob Fosse,2,6.9
Éric Tessier,1,6.9
David Silverman,1,6.9
Steve Antin,1,6.9
Yorgos Lanthimos,1,6.9
Darnell Martin,1,6.9
John Simpson,1,6.9
Allen Coulter,1,6.9
Benedikt Erlingsson,1,6.9
Duncan Tucker,1,6.9
Ben Sharpsteen,1,6.9
Bennett Miller,2,6.9
Shane Carruth,1,6.9
Peter DeLuise,1,6.9
Max Mayer,1,6.9
Jamal Hill,1,6.9
Raymond De Felitta,1,6.9
Matt Williams,1,6.9
Lee Toland Krieger,2,6.9
Guy Maddin,1,6.9
Paul Haggis,3,6.8999999999999995
Kevin Costner,3,6.8999999999999995
Michael Curtiz,3,6.8999999999999995
Anthony Minghella,3,6.8999999999999995
Terry Gilliam,7,6.885714285714286
Mel Brooks,6,6.883333333333333
Alexander Payne,5,6.88
Todd Solondz,3,6.866666666666667
John Cameron Mitchell,3,6.866666666666667
Clint Eastwood,20,6.865
Jean-Pierre Jeunet,5,6.859999999999999
Edward Zwick,7,6.857142857142857
Kenneth Branagh,7,6.857142857142857
Guy Ritchie,7,6.857142857142857
Gus Van Sant,7,6.857142857142857
John Huston,2,6.85
John Lasseter,4,6.85
Derek Cianfrance,2,6.85
Wayne Kramer,2,6.85
Alejandro Monteverde,2,6.85
Richard Kwietniowski,2,6.85
Gary Goldman,2,6.85
Francis Lawrence,5,6.840000000000001
Boaz Yakin,3,6.833333333333333
John Ford,4,6.825
Joel Coen,11,6.8090909090909095
Jeremy Saulnier,2,6.800000000000001
Denzel Washington,2,6.800000000000001
Carlos Saura,1,6.8
Russell Crowe,1,6.8
Andrew Erwin,1,6.8
Justin Kerrigan,1,6.8
Albert Hughes,3,6.8
Harley Cokeliss,1,6.8
Henry Bean,1,6.8
Julie Taymor,3,6.8
Sara Newens,1,6.8
Jeff Burr,1,6.8
Kim Nguyen,1,6.8
Khyentse Norbu,1,6.8
Greg Marcks,1,6.8
Scandar Copti,1,6.8
Laurent Cantet,1,6.8
Luis Valdez,1,6.8
Alex Kendrick,4,6.8
Nadine Labaki,1,6.8
John Michael McDonagh,1,6.8
David Ray,1,6.8
Nathan Frankowski,1,6.8
Debra Granik,1,6.8
Benh Zeitlin,1,6.8
Doug Liman,7,6.8
Dany Boon,1,6.8
Lucrecia Martel,1,6.8
Prachya Pinkaew,1,6.8
Ari Sandel,1,6.8
Léa Pool,2,6.8
Malcolm Goodwin,1,6.8
Ralph Ziman,1,6.8
George T. Miller,1,6.8
Ricki Stern,1,6.8
Angelo Pizzo,1,6.8
Todd Haynes,3,6.8
Richard Williams,1,6.8
Jeff Nichols,4,6.8
Josef Rusnak,1,6.8
Martin Koolhoven,1,6.8
Marielle Heller,1,6.8
Jason Marsden,1,6.8
Mark Rydell,1,6.8
Terry Zwigoff,2,6.8
Takeshi Kitano,1,6.8
Menno Meyjes,1,6.8
Elizabeth Banks,1,6.8
Dan Trachtenberg,1,6.8
John Maybury,1,6.8
Yuefeng Song,1,6.8
Aki Kaurismäki,1,6.8
Ole Christian Madsen,1,6.8
Stephen Anderson,1,6.8
Bille August,2,6.8
James Mottern,1,6.8
James Ponsoldt,1,6.8
Alice Wu,1,6.8
James Schamus,1,6.8
Doug Block,1,6.8
Vincent Ward,1,6.8
Jonathan Demme,5,6.779999999999999
David Cronenberg,7,6.771428571428571
David Yates,3,6.766666666666667
Joe Wright,6,6.766666666666667
Neill Blomkamp,3,6.766666666666667
Ang Lee,8,6.7625
Mike Leigh,5,6.76
Bruce Beresford,4,6.75
"George Tillman, Jr.",4,6.75
Rick Famuyiwa,4,6.75
Larry Clark,2,6.75
José Padilha,2,6.75
Gary Trousdale,2,6.75
David Mamet,2,6.75
Zach Braff,2,6.75
Marco Kreuzpaintner,2,6.75
Craig Brewer,2,6.75
Gary Ross,3,6.733333333333333
Alan Parker,3,6.733333333333333
Marc Webb,3,6.733333333333333
Shekhar Kapur,3,6.733333333333333
Tim Burton,14,6.728571428571429
Sofia Coppola,4,6.725
James Mangold,8,6.7125
Jennifer Yuh Nelson,2,6.7
William Phillips,1,6.7
Adam Brooks,1,6.7
Walter Murch,1,6.7
Joseph L. Mankiewicz,1,6.7
Derek Yee Tung-Sing,1,6.7
Scott Speer,1,6.7
Christian Volckman,1,6.7
Adrienne Shelly,1,6.7
Alejandro Amenábar,4,6.7
Gillian Robespierre,1,6.7
Susanne Bier,1,6.7
Saul Dibb,1,6.7
Joel Edgerton,1,6.7
Doug Atchison,1,6.7
Vijay Chandar,1,6.7
Tim Hunter,1,6.7
Spencer Susser,1,6.7
Oliver Hirschbiegel,2,6.7
Denys Arcand,1,6.7
Eugène Lourié,1,6.7
Alison Maclean,1,6.7
Stephen Hillenburg,1,6.7
Marc Levin,1,6.7
Tom McGrath,1,6.7
François Truffaut,1,6.7
Olivier Assayas,2,6.7
John Landis,5,6.7
John Lee Hancock,4,6.7
Mike Gabriel,1,6.7
